tahun,jenis_api,nilai_produksi,jumlah_hari,pelabuhan_kedatangan_id,pelabuhan_keberangkatan_id,kelas_pelabuhan,provinsi,tanggal_berangkat,tanggal_kedatangan,nama_ikan_id,berat
2018,Jaring insang berlapis,480000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-15,2018-01-16,Kembung Perempuan [RAB],24
2018,Bagan perahu,780000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-14,2018-01-16,Kembung Perempuan [RAB],78
2018,Bagan perahu,860000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-14,2018-01-16,Kembung Perempuan [RAB],86
2018,Bagan perahu,1210000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-14,2018-01-16,Kembung Perempuan [RAB],121
2018,Bagan perahu,1400000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-14,2018-01-16,Kembung Perempuan [RAB],140
2018,Jaring insang berlapis,480000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-16,2018-01-17,Kembung Perempuan [RAB],24
2018,Jala jatuh berkapal,5950000,87,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-23,2018-01-17,Kembung Perempuan [RAB],476
2018,Jala jatuh berkapal,60066000,87,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-23,2018-01-17,Cumi-Cumi,2556
2018,Jaring insang berlapis,840000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-17,2018-01-18,Kembung Perempuan [RAB],30
2018,Bagan perahu,1992000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-16,2018-01-18,Kembung Perempuan [RAB],166
2018,Bagan perahu,2088000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-16,2018-01-18,Kembung Perempuan [RAB],174
2018,Jaring insang berlapis,1792000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-18,2018-01-19,Kembung Perempuan [RAB],64
2018,Bagan perahu,1924000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-17,2018-01-19,Kembung Perempuan [RAB],148
2018,Bagan perahu,2834000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-17,2018-01-19,Kembung Perempuan [RAB],218
2018,Jala jatuh berkapal,111720000,31,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-12-19,2018-01-18,Cumi-Cumi,3192
2018,Bouke ami,176673000,91,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-21,2018-01-19,Cumi-Cumi,7518
2018,Bouke ami,192206500,95,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-17,2018-01-19,Cumi-Cumi,8179
2018,Jala jatuh berkapal,672423400,31,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-12-19,2018-01-18,Cumi-Cumi,13289
2018,Jaring insang berlapis,1540000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-19,2018-01-20,Kembung Perempuan [RAB],55
2018,Bagan perahu,936000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-19,2018-01-20,Kembung Perempuan [RAB],72
2018,Bagan perahu,6820000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-19,2018-01-20,Cumi-Cumi,124
2018,Bouke ami,73150000,93,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-20,2018-01-20,Cumi-Cumi,2090
2018,Bouke ami,104265000,90,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-23,2018-01-20,Cumi-Cumi,2979
2018,Bouke ami,242525800,90,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-23,2018-01-20,Cumi-Cumi,4793
2018,Bouke ami,292518600,93,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-20,2018-01-20,Cumi-Cumi,5781
2018,Jaring insang berlapis,925000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-20,2018-01-21,Kembung Perempuan [RAB],37
2018,Bagan perahu,663000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-20,2018-01-21,Kembung Perempuan [RAB],51
2018,Bagan perahu,1092000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-19,2018-01-21,Kembung Perempuan [RAB],84
2018,Jala jatuh berkapal,91650000,103,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-10,2018-01-20,Cumi-Cumi,3900
2018,Jaring insang berlapis,728000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-21,2018-01-22,Kembung Perempuan [RAB],26
2018,Bagan perahu,572000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-21,2018-01-22,Kembung Perempuan [RAB],44
2018,Bagan perahu,1066000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-20,2018-01-22,Kembung Perempuan [RAB],82
2018,Bagan perahu,1248000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-21,2018-01-22,Kembung Perempuan [RAB],96
2018,Jaring insang berlapis,812000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-22,2018-01-23,Kembung Perempuan [RAB],29
2018,Jaring insang berlapis,728000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-23,2018-01-24,Kembung Perempuan [RAB],26
2018,Bagan perahu,594000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-22,2018-01-24,Kembung Perempuan [RAB],33
2018,Jaring insang berlapis,588000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-24,2018-01-25,Kembung Perempuan [RAB],21
2018,Jaring insang berlapis,784000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-26,2018-01-27,Kembung Perempuan [RAB],28
2018,Bouke ami,116231000,69,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-20,2018-01-27,Cumi-Cumi,4946
2018,Bouke ami,144196000,87,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-02,2018-01-27,Cumi-Cumi,6136
2018,Jaring insang berlapis,644000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-27,2018-01-28,Kembung Perempuan [RAB],23
2018,Jala jatuh berkapal,29610000,203,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-07-10,2018-01-28,Cumi-Cumi,846
2018,Bouke ami,160503200,74,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-11-16,2018-01-28,Cumi-Cumi,3172
